names,gender,year,count,ranks
AALIYAH,Female,2021,97,75
AALIYAH,Female,2020,111,63
AALIYAH,Female,2019,90,80
AARON,Male,2019,103,86
ABIGAIL,Female,2021,151,49
ABIGAIL,Female,2020,164,38
ABIGAIL,Female,2019,209,27
ADAM,Male,2021,163,52
ADAM,Male,2020,171,50
ADAM,Male,2019,189,40
ADDISON,Female,2021,103,69
ADDISON,Female,2020,86,85
ADELINE,Female,2021,79,99
ADELINE,Female,2020,76,97
AIDEN,Male,2021,148,62
AIDEN,Male,2020,161,56
AIDEN,Male,2019,151,60
ALEXANDER,Male,2021,314,17
ALEXANDER,Male,2020,344,11
ALEXANDER,Male,2019,339,12
ALEXIS,Female,2019,76,94
ALI,Male,2021,142,67
ALI,Male,2020,142,63
ALI,Male,2019,119,76
ALICE,Female,2021,128,58
ALICE,Female,2020,133,50
ALICE,Female,2019,156,39
ALYSSA,Female,2019,93,75
AMELIA,Female,2021,489,2
AMELIA,Female,2020,514,1
AMELIA,Female,2019,467,3
ANGUS,Male,2021,115,82
ANGUS,Male,2020,107,83
ANGUS,Male,2019,124,73
ANNA,Female,2021,87,85
ANNA,Female,2020,100,74
ANNA,Female,2019,99,70
ANNABELLE,Female,2020,89,82
ANNABELLE,Female,2019,109,61
ANTHONY,Male,2021,97,99
ANTHONY,Male,2020,96,97
ARCHER,Male,2021,214,38
ARCHER,Male,2020,209,35
ARCHER,Male,2019,176,48
ARCHIE,Male,2021,327,14
ARCHIE,Male,2020,290,18
ARCHIE,Male,2019,265,22
ARI,Male,2021,105,88
ARI,Male,2020,99,94
ARIA,Female,2021,219,26
ARIA,Female,2020,205,28
ARIA,Female,2019,237,24
ARIANA,Female,2021,99,73
ARIANA,Female,2020,101,72
ARIANA,Female,2019,109,60
ARLO,Male,2021,231,34
ARLO,Male,2020,194,37
ARLO,Male,2019,186,44
ARTHUR,Male,2021,241,27
ARTHUR,Male,2020,181,44
ARTHUR,Male,2019,166,51
ASHER,Male,2021,122,77
ASHER,Male,2020,103,87
ASHER,Male,2019,114,77
ASHTON,Male,2021,102,92
ASHTON,Male,2020,120,72
ASHTON,Male,2019,155,57
AUDREY,Female,2021,251,19
AUDREY,Female,2020,210,25
AUDREY,Female,2019,218,26
AURORA,Female,2021,182,37
AURORA,Female,2020,139,46
AURORA,Female,2019,125,52
AUSTIN,Male,2021,167,49
AUSTIN,Male,2020,154,58
AUSTIN,Male,2019,165,52
AVA,Female,2021,414,5
AVA,Female,2020,391,6
AVA,Female,2019,392,6
AXEL,Male,2020,103,87
AYLA,Female,2021,163,46
AYLA,Female,2020,123,56
AYLA,Female,2019,105,64
Aaliyah,Female,2018,91,73
Aaliyah,Female,2017,101,65
Aaliyah,Female,2016,96,73
Aaliyah,Female,2015,85,87
Aaliyah,Female,2014,104,69
Aaliyah,Female,2013,101,71
Aaliyah,Female,2012,111,65
Aaliyah,Female,2011,87,80
Aaliyah,Female,2010,74,100
Aaliyah,Female,2009,79,98
Aaron,Male,2017,108,82
Aaron,Male,2016,126,81
Aaron,Male,2014,111,91
Aaron,Male,2013,110,92
Aaron,Male,2011,115,91
Aaron,Male,2010,127,83
Aaron,Male,2009,117,88
Aaron,Male,2008,140,72
Aaron,Male,2007,124,81
Aaron,Male,2006,127,82
Aaron,Male,2005,148,60
Aaron,Male,2004,178,49
Aaron,Male,2003,182,50
Aaron,Male,2002,187,49
Aaron,Male,2001,237,40
Aaron,Male,2000,227,43
Aaron,Male,1999,238,40
Aaron,Male,1998,262,36
Aaron,Male,1997,294,32
Aaron,Male,1996,375,27
Aaron,Male,1995,390,27
Aaron,Male,1994,398,25
Aaron,Male,1993,434,26
Aaron,Male,1992,474,22
Aaron,Male,1991,429,21
Aaron,Male,1990,449,20
Aaron,Male,1989,481,19
Aaron,Male,1988,420,25
Aaron,Male,1987,439,22
Aaron,Male,1986,517,18
Aaron,Male,1985,473,23
Aaron,Male,1984,439,24
Aaron,Male,1983,462,23
Aaron,Male,1982,416,25
Aaron,Male,1981,415,24
Aaron,Male,1980,423,23
Aaron,Male,1979,431,23
Aaron,Male,1978,357,26
Aaron,Male,1977,298,30
Aaron,Male,1976,274,34
Aaron,Male,1975,232,38
Aaron,Male,1974,244,37
Aaron,Male,1973,192,50
Aaron,Male,1972,260,38
Aaron,Male,1971,198,53
Aaron,Male,1970,107,77
Aaron,Male,1969,71,98
Abbey,Female,2010,101,62
Abbey,Female,2009,80,96
Abbey,Female,2008,106,69
Abbey,Female,2007,129,53
Abbey,Female,2006,124,57
Abbey,Female,2005,152,42
Abbey,Female,2004,150,38
Abbey,Female,2003,149,42
Abbey,Female,2002,166,37
Abbey,Female,2001,134,53
Abbey,Female,2000,163,43
Abbey,Female,1999,115,67
Abbey,Female,1998,140,55
Abbey,Female,1997,113,71
Abbey,Female,1996,95,82
Abby,Female,2010,75,97
Abby,Female,2009,81,94
Abby,Female,2008,87,90
Abby,Female,2006,93,82
Abby,Female,2005,102,71
Abby,Female,2004,98,69
Abby,Female,2002,99,79
Abby,Female,2001,88,85
Abby,Female,2000,105,76
Abby,Female,1999,85,96
Abigail,Female,2018,187,33
Abigail,Female,2017,194,35
Abigail,Female,2016,210,32
Abigail,Female,2015,198,33
Abigail,Female,2014,208,30
Abigail,Female,2013,217,27
Abigail,Female,2012,195,30
Abigail,Female,2011,214,27
Abigail,Female,2010,220,24
Abigail,Female,2009,188,29
Abigail,Female,2008,171,34
Abigail,Female,2007,146,43
Abigail,Female,2006,116,62
Abigail,Female,2005,114,59
Abigail,Female,2004,96,71
Abigail,Female,2003,78,95
Abigail,Female,2002,83,90
Adam,Male,2018,182,46
Adam,Male,2017,189,43
Adam,Male,2016,191,43
Adam,Male,2015,201,41
Adam,Male,2014,201,44
Adam,Male,2013,204,43
Adam,Male,2012,187,55
Adam,Male,2011,187,49
Adam,Male,2010,237,35
Adam,Male,2009,194,48
Adam,Male,2008,235,37
Adam,Male,2007,250,37
Adam,Male,2006,277,31
Adam,Male,2005,267,33
Adam,Male,2004,221,39
Adam,Male,2003,294,30
Adam,Male,2002,275,32
Adam,Male,2001,295,32
Adam,Male,2000,319,29
Adam,Male,1999,319,28
Adam,Male,1998,321,31
Adam,Male,1997,355,26
Adam,Male,1996,385,26
Adam,Male,1995,399,26
Adam,Male,1994,417,24
Adam,Male,1993,429,27
Adam,Male,1992,482,20
Adam,Male,1991,501,18
Adam,Male,1990,598,17
Adam,Male,1989,659,14
Adam,Male,1988,690,12
Adam,Male,1987,721,11
Adam,Male,1986,756,10
Adam,Male,1985,879,10
Adam,Male,1984,948,8
Adam,Male,1983,951,8
Adam,Male,1982,1012,7
Adam,Male,1981,1001,9
Adam,Male,1980,957,7
Adam,Male,1979,885,7
Adam,Male,1978,841,9
