names,gender,year,count,ranks
AALIYAH,Female,2021,97,75
AALIYAH,Female,2020,111,63
AALIYAH,Female,2019,90,80
ABIGAIL,Female,2021,151,49
ABIGAIL,Female,2020,164,38
ABIGAIL,Female,2019,209,27
ADDISON,Female,2021,103,69
ADDISON,Female,2020,86,85
ADELINE,Female,2021,79,99
ADELINE,Female,2020,76,97
ALEXIS,Female,2019,76,94
ALICE,Female,2021,128,58
ALICE,Female,2020,133,50
ALICE,Female,2019,156,39
ALYSSA,Female,2019,93,75
AMELIA,Female,2021,489,2
AMELIA,Female,2020,514,1
AMELIA,Female,2019,467,3
ANNA,Female,2021,87,85
ANNA,Female,2020,100,74
ANNA,Female,2019,99,70
ANNABELLE,Female,2020,89,82
ANNABELLE,Female,2019,109,61
ARIA,Female,2021,219,26
ARIA,Female,2020,205,28
ARIA,Female,2019,237,24
ARIANA,Female,2021,99,73
ARIANA,Female,2020,101,72
ARIANA,Female,2019,109,60
AUDREY,Female,2021,251,19
AUDREY,Female,2020,210,25
AUDREY,Female,2019,218,26
AURORA,Female,2021,182,37
AURORA,Female,2020,139,46
AURORA,Female,2019,125,52
AVA,Female,2021,414,5
AVA,Female,2020,391,6
AVA,Female,2019,392,6
AYLA,Female,2021,163,46
AYLA,Female,2020,123,56
AYLA,Female,2019,105,64
Aaliyah,Female,2018,91,73
Aaliyah,Female,2017,101,65
Aaliyah,Female,2016,96,73
Aaliyah,Female,2015,85,87
Aaliyah,Female,2014,104,69
Aaliyah,Female,2013,101,71
Aaliyah,Female,2012,111,65
Aaliyah,Female,2011,87,80
Aaliyah,Female,2010,74,100
Aaliyah,Female,2009,79,98
Abbey,Female,2010,101,62
Abbey,Female,2009,80,96
Abbey,Female,2008,106,69
Abbey,Female,2007,129,53
Abbey,Female,2006,124,57
Abbey,Female,2005,152,42
Abbey,Female,2004,150,38
Abbey,Female,2003,149,42
Abbey,Female,2002,166,37
Abbey,Female,2001,134,53
Abbey,Female,2000,163,43
Abbey,Female,1999,115,67
Abbey,Female,1998,140,55
Abbey,Female,1997,113,71
Abbey,Female,1996,95,82
Abby,Female,2010,75,97
Abby,Female,2009,81,94
Abby,Female,2008,87,90
Abby,Female,2006,93,82
Abby,Female,2005,102,71
Abby,Female,2004,98,69
Abby,Female,2002,99,79
Abby,Female,2001,88,85
Abby,Female,2000,105,76
Abby,Female,1999,85,96
Abigail,Female,2018,187,33
Abigail,Female,2017,194,35
Abigail,Female,2016,210,32
Abigail,Female,2015,198,33
Abigail,Female,2014,208,30
Abigail,Female,2013,217,27
Abigail,Female,2012,195,30
Abigail,Female,2011,214,27
Abigail,Female,2010,220,24
Abigail,Female,2009,188,29
Abigail,Female,2008,171,34
Abigail,Female,2007,146,43
Abigail,Female,2006,116,62
Abigail,Female,2005,114,59
Abigail,Female,2004,96,71
Abigail,Female,2003,78,95
Abigail,Female,2002,83,90
Addison,Female,2018,76,92
Addison,Female,2017,91,78
Addison,Female,2016,101,68
Addison,Female,2015,102,68
Addison,Female,2014,107,63
Addison,Female,2013,118,57
Addison,Female,2012,125,55
Addison,Female,2011,132,50
Addison,Female,2010,121,54
Addison,Female,2009,94,79
Addison,Female,2008,78,100
Adeline,Female,2018,77,90
Aimee,Female,1993,101,87
Aimee,Female,1990,118,68
Aimee,Female,1989,106,79
Aimee,Female,1986,97,79
Aimee,Female,1984,80,95
Aimee,Female,1983,83,90
Aisha,Female,2016,92,79
Aisha,Female,2015,91,79
Aisha,Female,2014,67,99
Alana,Female,2011,79,91
Alana,Female,2010,75,98
Alana,Female,2009,80,97
Alana,Female,2008,80,98
Alana,Female,2007,87,92
Alana,Female,2006,99,74
Alana,Female,2005,82,96
Alana,Female,2004,86,83
Alana,Female,2003,95,75
Alana,Female,2002,98,80
Alana,Female,1998,101,82
Alana,Female,1997,94,86
Alana,Female,1996,104,76
Alana,Female,1995,86,95
Alana,Female,1994,101,88
Alana,Female,1993,118,70
Alana,Female,1992,115,71
Alana,Female,1991,129,53
Alana,Female,1990,113,73
Alana,Female,1989,112,74
Alana,Female,1988,103,74
Alana,Female,1987,105,73
Alana,Female,1986,89,89
Alana,Female,1985,97,81
Alana,Female,1984,137,57
Alana,Female,1983,117,68
Alana,Female,1982,110,75
Alana,Female,1981,115,68
Alana,Female,1980,80,96
Alexandra,Female,2015,82,89
Alexandra,Female,2014,87,79
Alexandra,Female,2013,102,68
Alexandra,Female,2012,85,85
Alexandra,Female,2011,79,92
Alexandra,Female,2010,101,63
Alexandra,Female,2009,96,76
Alexandra,Female,2008,105,71
Alexandra,Female,2007,103,72
Alexandra,Female,2006,138,40
Alexandra,Female,2005,159,38
Alexandra,Female,2004,109,64
Alexandra,Female,2003,158,39
Alexandra,Female,2002,171,35
Alexandra,Female,2001,150,47
Alexandra,Female,2000,187,32
Alexandra,Female,1999,232,22
Alexandra,Female,1998,226,26
Alexandra,Female,1997,231,26
Alexandra,Female,1996,232,25
Alexandra,Female,1995,286,18
Alexandra,Female,1994,295,17
Alexandra,Female,1993,316,16
Alexandra,Female,1992,313,18
Alexandra,Female,1991,325,17
Alexandra,Female,1990,328,19
Alexandra,Female,1989,289,20
Alexandra,Female,1988,328,19
Alexandra,Female,1987,310,22
Alexandra,Female,1986,203,34
Alexandra,Female,1985,193,40
Alexandra,Female,1984,175,43
Alexandra,Female,1983,145,56
Alexandra,Female,1982,132,61
Alexandra,Female,1981,115,69
Alexandra,Female,1980,148,51
Alexandra,Female,1979,96,82
Alexandra,Female,1978,96,82
Alexandra,Female,1977,100,77
Alexandra,Female,1975,89,88
Alexandra,Female,1974,81,98
Alexandra,Female,1972,99,96
Alexandra,Female,1969,85,100
Alexis,Female,2018,75,94
Alexis,Female,2017,101,66
Alexis,Female,2016,113,62
Alexis,Female,2015,121,54
Alexis,Female,2014,152,46
Alexis,Female,2013,139,46
Alexis,Female,2012,162,38
Alexis,Female,2011,171,36
Alexis,Female,2010,162,39
Alexis,Female,2009,112,58
Alexis,Female,2008,107,67
Alexis,Female,2007,92,87
Alice,Female,2018,161,37
Alice,Female,2017,160,37
Alice,Female,2016,168,38
Alice,Female,2015,130,47
Alice,Female,2014,145,48
Alice,Female,2013,132,49
Alice,Female,2012,141,48
Alice,Female,2011,133,49
Alice,Female,2010,112,58
Alice,Female,2009,99,70
Alice,Female,2008,82,96
Alice,Female,2007,95,81
Alice,Female,2006,84,94
Alice,Female,2005,83,94
Alice,Female,2002,78,95
Alice,Female,2001,76,98
Alice,Female,1997,85,92
Alice,Female,1996,82,99
Alice,Female,1995,94,91
Alice,Female,1994,111,83
Alice,Female,1993,95,89
Alice,Female,1992,112,77
Alice,Female,1991,109,69
Alice,Female,1990,97,88
Alice,Female,1989,124,65
Alice,Female,1988,92,82
Alice,Female,1987,76,98
